[ServiceContract(CallbackContract=typeof(ICallbackContract))]
interface ISomeContractDuplex
{
//-----------------------------------------------------------------------------
	[OperationContract(IsOneWay=true)]
	void SomeOperation(string Input);
//-----------------------------------------------------------------------------
}

interface ICallbackContract
{
//-----------------------------------------------------------------------------
	[OperationContract(IsOneWay=true)]
	void SomeCallbackOperation(string Input);
//-----------------------------------------------------------------------------
}


Level LCLog=0.
Ukazuje ako sa chova WCF ak Callback SomeCallbackOperation() je [OneWay], ale nevracia ziadnu navratovu hodnotu.
Pocet sprav je 4 (2*2-M su zachytene Senderom aj Receiverom, peto zdvojenie), kde jedna je Send a druha volanie Callback.
Response na Send sa neposiel kedze SomeOperation() je [OneWay].
Response na Send sa neposiel kedze SomeCallbackOperation() je [OneWay].




<s:Envelope xmlns:s="http://www.w3.org/2003/05/soap-envelope" xmlns:a="http://www.w3.org/2005/08/addressing">
  <s:Header>
    <a:Action s:mustUnderstand="1">http://tempuri.org/ISomeContractDuplex/SomeOperation</a:Action>
    <a:To s:mustUnderstand="1">net.tcp://localhost:4000/ISomeContractDuplex</a:To>
  </s:Header>
  <s:Body>
    <SomeOperation xmlns="http://tempuri.org/">
      <Input>AAABBBCCC</Input>
    </SomeOperation>
  </s:Body>
</s:Envelope>
T: 17.9.2007 15:34:02, S: TCP, M: CLCDuplexChannel.BeginTryReceive() called !
T: 17.9.2007 15:34:02, S: Log, M: CDuplexReceiver.CONSTRUCTOR() called !
T: 17.9.2007 15:34:02, S: Log, M: CDuplexReceiver.CONSTRUCTOR() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCDuplexChannel.Send() called !
T: 17.9.2007 15:34:02, S: TCP, M1: CLCDuplexChannel.Send() called !, M2: 
<s:Envelope xmlns:a="http://www.w3.org/2005/08/addressing" xmlns:s="http://www.w3.org/2003/05/soap-envelope">
  <s:Header>
    <a:Action s:mustUnderstand="1">http://tempuri.org/ISomeContractDuplex/SomeCallbackOperation</a:Action>
  </s:Header>
  <s:Body>
    <SomeCallbackOperation xmlns="http://tempuri.org/">
      <Input>CCCBBBAAA</Input>
    </SomeCallbackOperation>
  </s:Body>
</s:Envelope>
T: 17.9.2007 15:34:02, S: TCP, M: CLCDuplexChannel.EndTryReceive() called !
T: 17.9.2007 15:34:02, S: TCP, M1: CLCDuplexChannel.EndTryReceive() called !, M2: 
<s:Envelope xmlns:s="http://www.w3.org/2003/05/soap-envelope" xmlns:a="http://www.w3.org/2005/08/addressing">
  <s:Header>
    <a:Action s:mustUnderstand="1">http://tempuri.org/ISomeContractDuplex/SomeCallbackOperation</a:Action>
    <a:To s:mustUnderstand="1">http://www.w3.org/2005/08/addressing/anonymous</a:To>
  </s:Header>
  <s:Body>
    <SomeCallbackOperation xmlns="http://tempuri.org/">
      <Input>CCCBBBAAA</Input>
    </SomeCallbackOperation>
  </s:Body>
</s:Envelope>
T: 17.9.2007 15:34:02, S: TCP, M: CLCDuplexChannel.BeginTryReceive() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCChannelBase.OnClosing() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCChannelBase.OnClose() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCDuplexChannel.EndTryReceive() called !
T: 17.9.2007 15:34:02, S: TCP, M1: CLCDuplexChannel.EndTryReceive() called !, M2: Message is null
T: 17.9.2007 15:34:02, S: TCP, M: CLCChannelBase.OnClosing() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCChannelBase.OnClose() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCChannelBase.OnClosed() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCChannelBase.OnClosed() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCChannelFactory<TShape>.OnClose() called !
T: 17.9.2007 15:34:02, S: TCP, M: CLCDuplexChannel.EndTryReceive() called !
T: 17.9.2007 15:34:02, S: TCP, M1: CLCDuplexChannel.EndTryReceive() called !, M2: Message is null
T: 17.9.2007 15:34:03, S: TCP, M: CLCChannelListener<TShape>.OnClose() called !
T: 17.9.2007 15:34:03, S: TCP, M: CLCChannelListener<TShape>.OnEndAcceptChannel() called !
