Messages je 4, teda 2 M zachytene 2 krat.

Su to Send a Response-Send.


    <a:To s:mustUnderstand="1">net.tcp://localhost:4000/ISomeContractRequestResponse</a:To>
  </s:Header>
  <s:Body>
    <SomeOperation xmlns="http://tempuri.org/">
      <Input>AAABBBCCC</Input>
    </SomeOperation>
  </s:Body>
</s:Envelope>
T: 17.9.2007 16:23:18, S: TCP, M: CLCDuplexChannel.get_RemoteAddress() called !
T: 17.9.2007 16:23:18, S: Log, M: CRequestReplyReceiver.CONSTRUCTOR() called !
T: 17.9.2007 16:23:18, S: Log, M: CRequestReplyReceiver.SomeOperation() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCDuplexChannel.Send() called !
T: 17.9.2007 16:23:18, S: TCP, M1: CLCDuplexChannel.Send() called !, M2: 
<s:Envelope xmlns:a="http://www.w3.org/2005/08/addressing" xmlns:s="http://www.w3.org/2003/05/soap-envelope">
  <s:Header>
    <a:Action s:mustUnderstand="1">http://tempuri.org/ISomeContractRequestReply/SomeOperationResponse</a:Action>
    <a:RelatesTo>urn:uuid:da33fb16-33ac-4e66-a694-374bea424b30</a:RelatesTo>
  </s:Header>
  <s:Body>
    <SomeOperationResponse xmlns="http://tempuri.org/">
      <SomeOperationResult>CCCBBBAAA</SomeOperationResult>
    </SomeOperationResponse>
  </s:Body>
</s:Envelope>
T: 17.9.2007 16:23:18, S: TCP, M: CLCDuplexChannel.BeginTryReceive() called !
T: 17.9.2007 16:23:18, S: TCP, M: CLCDuplexChannel.TryReceive() called !
T: 17.9.2007 16:23:18, S: TCP, M1: CLCDuplexChannel.TryReceive() called !, M2: 
<s:Envelope xmlns:a="http://www.w3.org/2005/08/addressing" xmlns:s="http://www.w3.org/2003/05/soap-envelope">
  <s:Header>
    <a:Action s:mustUnderstand="1">http://tempuri.org/ISomeContractRequestReply/SomeOperationResponse</a:Action>
    <a:RelatesTo>urn:uuid:da33fb16-33ac-4e66-a694-374bea424b30</a:RelatesTo>
    <a:To s:mustUnderstand="1">http://www.w3.org/2005/08/addressing/anonymous</a:To>
  </s:Header>
  <s:Body>
    <SomeOperationResponse xmlns="http://tempuri.org/">
      <SomeOperationResult>CCCBBBAAA</SomeOperationResult>
    </SomeOperationResponse>
  </s:Body>
</s:Envelope>
T: 17.9.2007 16:23:19, S: TCP, M: CLCChannelBase.OnClosing() called !
T: 17.9.2007 16:23:19, S: TCP, M: CLCChannelBase.OnClose() called !
T: 17.9.2007 16:23:19, S: TCP, M: CLCDuplexChannel.EndTryReceive() called !
T: 17.9.2007 16:23:19, S: TCP, M1: CLCDuplexChannel.EndTryReceive() called !, M2: Message is null
T: 17.9.2007 16:23:19, S: TCP, M: CLCChannelBase.OnClosing() called !
T: 17.9.2007 16:23:19, S: TCP, M: CLCChannelBase.OnClose() called !
T: 17.9.2007 16:23:19, S: TCP, M: CLCChannelBase.OnClosed() called !
T: 17.9.2007 16:23:19, S: TCP, M: CLCChannelFactory<TShape>.OnClose() called !
T: 17.9.2007 16:23:19, S: TCP, M: CLCChannelBase.OnClosed() called !
T: 17.9.2007 16:23:20, S: TCP, M: CLCChannelListener<TShape>.OnClose() called !
T: 17.9.2007 16:23:20, S: TCP, M: CLCChannelListener<TShape>.OnEndAcceptChannel() called !
